java/nio/Buffer.limit, inclusiveCpuTime:1403, inclusiveRealTime:1191, call times:337, cpuTime:4/call, realTime:3/call
android/webkit/BrowserFrame.removeJavascriptInterface, inclusiveCpuTime:92, inclusiveRealTime:91, call times:3, cpuTime:30/call, realTime:30/call
com/tencent/mobileqq/activity/QQBrowserActivity.initAll, inclusiveCpuTime:1191925, inclusiveRealTime:2977112, call times:1, cpuTime:1191925/call, realTime:2977112/call
java/util/concurrent/ScheduledThreadPoolExecutor$ScheduledFutureTask.isPeriodic, inclusiveCpuTime:61, inclusiveRealTime:31, call times:4, cpuTime:15/call, realTime:7/call
android/view/GLES20Canvas.isAvailable, inclusiveCpuTime:61, inclusiveRealTime:91, call times:22, cpuTime:2/call, realTime:4/call
android/app/ContextImpl.bindServiceAsUser, inclusiveCpuTime:4730, inclusiveRealTime:9583, call times:3, cpuTime:1576/call, realTime:3194/call
android/graphics/drawable/Drawable.resolveOpacity, inclusiveCpuTime:120, inclusiveRealTime:62, call times:18, cpuTime:6/call, realTime:3/call
com/tencent/smtt/sdk/TbsCoreLoadStat.setNeedReportFlag, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
java/util/concurrent/locks/AbstractQueuedSynchronizer.setHead, inclusiveCpuTime:30, inclusiveRealTime:30, call times:3, cpuTime:10/call, realTime:10/call
oicq/wlogin_sdk/tools/util.get_file_imei, inclusiveCpuTime:1739, inclusiveRealTime:1740, call times:1, cpuTime:1739/call, realTime:1740/call
android/content/pm/ProviderInfo$1.createFromParcel, inclusiveCpuTime:4271, inclusiveRealTime:4670, call times:3, cpuTime:1423/call, realTime:1556/call
java/lang/String.toLowerCase, inclusiveCpuTime:10068, inclusiveRealTime:10468, call times:51, cpuTime:197/call, realTime:205/call
java/util/concurrent/ConcurrentLinkedQueue.first, inclusiveCpuTime:91, inclusiveRealTime:92, call times:3, cpuTime:30/call, realTime:30/call
android/view/Choreographer.subtractFrameDelay, inclusiveCpuTime:31, inclusiveRealTime:30, call times:2, cpuTime:15/call, realTime:15/call
java/util/concurrent/FutureTask.done, inclusiveCpuTime:0, inclusiveRealTime:0, call times:2, cpuTime:0/call, realTime:0/call
android/net/Uri$StringUri.getAuthority, inclusiveCpuTime:13270, inclusiveRealTime:13093, call times:233, cpuTime:56/call, realTime:56/call
com/tencent/feedback/proguard/w.d, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
com/tencent/mobileqq/app/BaseActivity.replaceActivityHandler, inclusiveCpuTime:275, inclusiveRealTime:274, call times:1, cpuTime:275/call, realTime:274/call
java/io/ByteArrayOutputStream.expand, inclusiveCpuTime:3330, inclusiveRealTime:3935, call times:779, cpuTime:4/call, realTime:5/call
android/os/Parcel.writeBundle, inclusiveCpuTime:7348, inclusiveRealTime:7295, call times:22, cpuTime:334/call, realTime:331/call
com/qq/jce/wup/OldUniAttribute.<init>, inclusiveCpuTime:610, inclusiveRealTime:580, call times:2, cpuTime:305/call, realTime:290/call
com/tencent/theme/SkinEngine.getSkinRootPath, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
android/view/ViewTreeObserver$CopyOnWriteArray.getArray, inclusiveCpuTime:184, inclusiveRealTime:244, call times:12, cpuTime:15/call, realTime:20/call
android/view/GLES20Canvas.restore, inclusiveCpuTime:30, inclusiveRealTime:30, call times:3, cpuTime:10/call, realTime:10/call
com/tencent/mqq/shared_file_accessor/a.b, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
android/database/sqlite/SQLiteDatabase.execSQL, inclusiveCpuTime:49649, inclusiveRealTime:58622, call times:13, cpuTime:3819/call, realTime:4509/call
android/content/ContextWrapper.getResources, inclusiveCpuTime:303, inclusiveRealTime:338, call times:23, cpuTime:13/call, realTime:14/call
android/content/res/AssetManager.openXmlBlockAsset, inclusiveCpuTime:5158, inclusiveRealTime:5464, call times:13, cpuTime:396/call, realTime:420/call
com/tencent/smtt/utils/TbsConfigFile.<clinit>, inclusiveCpuTime:31, inclusiveRealTime:0, call times:1, cpuTime:31/call, realTime:0/call
java/nio/charset/Charset.isValidCharsetNameCharacter, inclusiveCpuTime:1833, inclusiveRealTime:1497, call times:362, cpuTime:5/call, realTime:4/call
com/tencent/biz/AuthorizeConfig.<init>, inclusiveCpuTime:7537, inclusiveRealTime:10407, call times:1, cpuTime:7537/call, realTime:10407/call
com/tencent/mqq/shared_file_accessor/a.c, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
android/os/Parcel.writeByteArray, inclusiveCpuTime:183, inclusiveRealTime:184, call times:6, cpuTime:30/call, realTime:30/call
android/view/Choreographer.doScheduleCallback, inclusiveCpuTime:214, inclusiveRealTime:214, call times:1, cpuTime:214/call, realTime:214/call
android/view/GLES20Canvas.rotate, inclusiveCpuTime:91, inclusiveRealTime:61, call times:2, cpuTime:45/call, realTime:30/call
android/view/ViewTreeObserver$CopyOnWriteArray.end, inclusiveCpuTime:0, inclusiveRealTime:0, call times:2, cpuTime:0/call, realTime:0/call
libcore/io/Posix.strerror, inclusiveCpuTime:214, inclusiveRealTime:244, call times:4, cpuTime:53/call, realTime:61/call
java/util/TimeZone.clone, inclusiveCpuTime:919, inclusiveRealTime:891, call times:33, cpuTime:27/call, realTime:27/call
com/tencent/feedback/proguard/w.e, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
